CSDUID,CSD,Period,IndicatorSummaryDescription,Sector,UnitOfMeasure,OriginalValue
4808011,Red Deer,2008,Major Projects,Pipelines,$,150.00000
4808011,Red Deer,2013,Major Projects,Pipelines,$,10.00000
4808011,Red Deer,2014,Major Projects,Pipelines,$,10.00000
4805041,Kneehill County,2011,Major Projects,Pipelines,$,8.70000
4802001,Warner County No. 5,2009,Major Projects,Pipelines,$,60.00000
4807048,Hardisty,2007,Major Projects,Pipelines,$,2195.00000
4807048,Hardisty,2008,Major Projects,Pipelines,$,2300.00000
4807048,Hardisty,2010,Major Projects,Pipelines,$,25.00000
4807048,Hardisty,2011,Major Projects,Pipelines,$,23.12500
4807048,Hardisty,2012,Major Projects,Pipelines,$,345.00000
4807048,Hardisty,2013,Major Projects,Pipelines,$,345.00000
4807048,Hardisty,2014,Major Projects,Pipelines,$,70.00000
4807048,Hardisty,2016,Major Projects,Pipelines,$,2500.00000
4807048,Hardisty,2017,Major Projects,Pipelines,$,2500.00000
4807048,Hardisty,2018,Major Projects,Pipelines,$,2500.00000
4807048,Hardisty,2019,Major Projects,Pipelines,$,2500.00000
4807048,Hardisty,2020,Major Projects,Pipelines,$,2500.00000
4807049,Wainwright No. 61,2010,Major Projects,Pipelines,$,25.00000
4807049,Wainwright No. 61,2011,Major Projects,Pipelines,$,23.12500
4807049,Wainwright No. 61,2013,Major Projects,Pipelines,$,112.50000
4807049,Wainwright No. 61,2014,Major Projects,Pipelines,$,112.50000
4807049,Wainwright No. 61,2015,Major Projects,Pipelines,$,230.68182
4807049,Wainwright No. 61,2016,Major Projects,Pipelines,$,230.68182
4807049,Wainwright No. 61,2017,Major Projects,Pipelines,$,112.50000
4807049,Wainwright No. 61,2018,Major Projects,Pipelines,$,112.50000
4807049,Wainwright No. 61,2019,Major Projects,Pipelines,$,112.50000
4807049,Wainwright No. 61,2020,Major Projects,Pipelines,$,112.50000
4808001,Red Deer County,2007,Major Projects,Pipelines,$,109.00000
4808001,Red Deer County,2008,Major Projects,Pipelines,$,114.00000
4808001,Red Deer County,2009,Major Projects,Pipelines,$,34.00000
4808001,Red Deer County,2010,Major Projects,Pipelines,$,34.00000
4808001,Red Deer County,2011,Major Projects,Pipelines,$,34.00000
4805012,Wheatland County,2007,Major Projects,Pipelines,$,15.00000
4805012,Wheatland County,2008,Major Projects,Pipelines,$,15.00000
4805012,Wheatland County,2009,Major Projects,Pipelines,$,15.00000
4807019,Stettler County No. 6,2007,Major Projects,Pipelines,$,60.00000
4807019,Stettler County No. 6,2008,Major Projects,Pipelines,$,45.00000
4807019,Stettler County No. 6,2019,Major Projects,Pipelines,$,16.66667
4807022,Gadsby,2019,Major Projects,Pipelines,$,16.66667
4808022,Lacombe County,2007,Major Projects,Pipelines,$,18.50000
4808022,Lacombe County,2008,Major Projects,Pipelines,$,18.50000
4808022,Lacombe County,2009,Major Projects,Pipelines,$,200.00000
4808022,Lacombe County,2010,Major Projects,Pipelines,$,200.00000
4808022,Lacombe County,2011,Major Projects,Pipelines,$,200.00000
4808022,Lacombe County,2014,Major Projects,Pipelines,$,46.15385
4808022,Lacombe County,2015,Major Projects,Pipelines,$,46.15385
4808022,Lacombe County,2016,Major Projects,Pipelines,$,46.15385
4808022,Lacombe County,2017,Major Projects,Pipelines,$,92.30769
4808022,Lacombe County,2018,Major Projects,Pipelines,$,92.30769
4808022,Lacombe County,2019,Major Projects,Pipelines,$,92.30769
4808006,Bowden,2012,Major Projects,Pipelines,$,24.00000
4808008,Innisfail,2012,Major Projects,Pipelines,$,26.00000
4807031,Flagstaff County,2010,Major Projects,Pipelines,$,25.00000
4807031,Flagstaff County,2011,Major Projects,Pipelines,$,23.12500
4807031,Flagstaff County,2013,Major Projects,Pipelines,$,112.50000
4807031,Flagstaff County,2014,Major Projects,Pipelines,$,112.50000
4807031,Flagstaff County,2015,Major Projects,Pipelines,$,230.68182
4807031,Flagstaff County,2016,Major Projects,Pipelines,$,2730.68182
4807031,Flagstaff County,2017,Major Projects,Pipelines,$,2612.50000
4807031,Flagstaff County,2018,Major Projects,Pipelines,$,2612.50000
4807031,Flagstaff County,2019,Major Projects,Pipelines,$,2612.50000
4807031,Flagstaff County,2020,Major Projects,Pipelines,$,2612.50000
4807011,Paintearth County No. 18,2019,Major Projects,Pipelines,$,16.66667
4807012,Coronation,2019,Major Projects,Pipelines,$,16.66667
4807014,Castor,2019,Major Projects,Pipelines,$,16.66667
4807016,Halkirk,2019,Major Projects,Pipelines,$,16.66667
4810001,Camrose County,2007,Major Projects,Pipelines,$,5.20000
4810001,Camrose County,2014,Major Projects,Pipelines,$,46.15385
4810001,Camrose County,2015,Major Projects,Pipelines,$,46.15385
4810001,Camrose County,2016,Major Projects,Pipelines,$,46.15385
4810001,Camrose County,2017,Major Projects,Pipelines,$,92.30769
4810001,Camrose County,2018,Major Projects,Pipelines,$,92.30769
4810001,Camrose County,2019,Major Projects,Pipelines,$,92.30769
4811056,Fort Saskatchewan,2009,Major Projects,Pipelines,$,29.00000
4811056,Fort Saskatchewan,2010,Major Projects,Pipelines,$,29.00000
4811056,Fort Saskatchewan,2012,Major Projects,Pipelines,$,1212.50000
4811056,Fort Saskatchewan,2013,Major Projects,Pipelines,$,600.00000
4811056,Fort Saskatchewan,2014,Major Projects,Pipelines,$,937.06294
4811056,Fort Saskatchewan,2015,Major Projects,Pipelines,$,337.06294
4811056,Fort Saskatchewan,2016,Major Projects,Pipelines,$,337.06294
4811056,Fort Saskatchewan,2017,Major Projects,Pipelines,$,92.30769
4811056,Fort Saskatchewan,2018,Major Projects,Pipelines,$,92.30769
4811056,Fort Saskatchewan,2019,Major Projects,Pipelines,$,92.30769
4811061,Edmonton,2007,Major Projects,Pipelines,$,300.00000
4811061,Edmonton,2008,Major Projects,Pipelines,$,592.33333
4811061,Edmonton,2009,Major Projects,Pipelines,$,452.16667
4811061,Edmonton,2010,Major Projects,Pipelines,$,652.16667
4811061,Edmonton,2011,Major Projects,Pipelines,$,967.50000
4811061,Edmonton,2012,Major Projects,Pipelines,$,522.20000
4811061,Edmonton,2013,Major Projects,Pipelines,$,795.20000
4811061,Edmonton,2014,Major Projects,Pipelines,$,1313.90909
4811061,Edmonton,2015,Major Projects,Pipelines,$,1215.90909
4811061,Edmonton,2016,Major Projects,Pipelines,$,1215.90909
4811061,Edmonton,2017,Major Projects,Pipelines,$,925.00000
4811061,Edmonton,2018,Major Projects,Pipelines,$,672.72727
4811061,Edmonton,2019,Major Projects,Pipelines,$,672.72727
4811061,Edmonton,2020,Major Projects,Pipelines,$,672.72727
4811061,Edmonton,2021,Major Projects,Pipelines,$,1145.45455
4811061,Edmonton,2022,Major Projects,Pipelines,$,1945.45455
4802034,Brooks,2012,Major Projects,Pipelines,$,51.00000
4802034,Brooks,2013,Major Projects,Pipelines,$,51.00000
4808038,Ponoka County,2014,Major Projects,Pipelines,$,46.15385
4808038,Ponoka County,2015,Major Projects,Pipelines,$,46.15385
4808038,Ponoka County,2016,Major Projects,Pipelines,$,46.15385
4808038,Ponoka County,2017,Major Projects,Pipelines,$,92.30769
4808038,Ponoka County,2018,Major Projects,Pipelines,$,92.30769
4808038,Ponoka County,2019,Major Projects,Pipelines,$,92.30769
4812037,Lac la Biche County,2012,Major Projects,Pipelines,$,1200.00000
4812037,Lac la Biche County,2014,Major Projects,Pipelines,$,290.90909
4812037,Lac la Biche County,2015,Major Projects,Pipelines,$,669.09091
4812037,Lac la Biche County,2016,Major Projects,Pipelines,$,669.09091
4812037,Lac la Biche County,2018,Major Projects,Pipelines,$,110.00000
4808811,Samson 137,2014,Major Projects,Pipelines,$,46.15385
4808811,Samson 137,2015,Major Projects,Pipelines,$,46.15385
4808811,Samson 137,2016,Major Projects,Pipelines,$,46.15385
4808811,Samson 137,2017,Major Projects,Pipelines,$,92.30769
4808811,Samson 137,2018,Major Projects,Pipelines,$,92.30769
4808811,Samson 137,2019,Major Projects,Pipelines,$,92.30769
4809002,Clearwater County,2019,Major Projects,Pipelines,$,254.50000
4809002,Clearwater County,2020,Major Projects,Pipelines,$,254.50000
4809002,Clearwater County,2021,Major Projects,Pipelines,$,254.50000
4810022,Viking,2013,Major Projects,Pipelines,$,112.50000
4810022,Viking,2014,Major Projects,Pipelines,$,112.50000
4810022,Viking,2015,Major Projects,Pipelines,$,112.50000
4810022,Viking,2016,Major Projects,Pipelines,$,112.50000
4810022,Viking,2017,Major Projects,Pipelines,$,112.50000
4810022,Viking,2018,Major Projects,Pipelines,$,112.50000
4810022,Viking,2019,Major Projects,Pipelines,$,112.50000
4810022,Viking,2020,Major Projects,Pipelines,$,112.50000
4810026,Minburn County No. 27,2010,Major Projects,Pipelines,$,35.40000
4810026,Minburn County No. 27,2011,Major Projects,Pipelines,$,23.12500
4810026,Minburn County No. 27,2013,Major Projects,Pipelines,$,112.50000
4810026,Minburn County No. 27,2014,Major Projects,Pipelines,$,112.50000
4810026,Minburn County No. 27,2015,Major Projects,Pipelines,$,112.50000
4810026,Minburn County No. 27,2016,Major Projects,Pipelines,$,112.50000
4810026,Minburn County No. 27,2017,Major Projects,Pipelines,$,112.50000
4810026,Minburn County No. 27,2018,Major Projects,Pipelines,$,112.50000
4810026,Minburn County No. 27,2019,Major Projects,Pipelines,$,112.50000
4810026,Minburn County No. 27,2020,Major Projects,Pipelines,$,112.50000
4810028,Vegreville,2012,Major Projects,Pipelines,$,150.00000
4810028,Vegreville,2013,Major Projects,Pipelines,$,150.00000
4813030,Whitecourt,2008,Major Projects,Pipelines,$,13.50000
4813030,Whitecourt,2009,Major Projects,Pipelines,$,13.50000
4806019,Cochrane,2018,Major Projects,Pipelines,$,240.00000
4806019,Cochrane,2019,Major Projects,Pipelines,$,240.00000
4813029,Woodlands County,2008,Major Projects,Pipelines,$,133.33333
4813029,Woodlands County,2009,Major Projects,Pipelines,$,171.66667
4813029,Woodlands County,2010,Major Projects,Pipelines,$,303.25000
4813029,Woodlands County,2011,Major Projects,Pipelines,$,156.58333
4813029,Woodlands County,2012,Major Projects,Pipelines,$,131.58333
4813029,Woodlands County,2013,Major Projects,Pipelines,$,131.58333
4813029,Woodlands County,2014,Major Projects,Pipelines,$,461.58333
4813029,Woodlands County,2015,Major Projects,Pipelines,$,461.58333
4813029,Woodlands County,2016,Major Projects,Pipelines,$,330.00000
4813029,Woodlands County,2019,Major Projects,Pipelines,$,185.71429
4813029,Woodlands County,2020,Major Projects,Pipelines,$,185.71429
4813029,Woodlands County,2021,Major Projects,Pipelines,$,228.57143
4813029,Woodlands County,2022,Major Projects,Pipelines,$,228.57143
4810018,Tofield,2014,Major Projects,Pipelines,$,46.15385
4810018,Tofield,2015,Major Projects,Pipelines,$,46.15385
4810018,Tofield,2016,Major Projects,Pipelines,$,46.15385
4810018,Tofield,2017,Major Projects,Pipelines,$,92.30769
4810018,Tofield,2018,Major Projects,Pipelines,$,92.30769
4810018,Tofield,2019,Major Projects,Pipelines,$,92.30769
4813017,Sunrise Beach,2014,Major Projects,Pipelines,$,305.00000
4813017,Sunrise Beach,2015,Major Projects,Pipelines,$,305.00000
4813017,Sunrise Beach,2016,Major Projects,Pipelines,$,305.00000
4813018,Barrhead County No. 11,2010,Major Projects,Pipelines,$,131.58333
4813018,Barrhead County No. 11,2011,Major Projects,Pipelines,$,131.58333
4813018,Barrhead County No. 11,2012,Major Projects,Pipelines,$,131.58333
4813018,Barrhead County No. 11,2013,Major Projects,Pipelines,$,131.58333
4813018,Barrhead County No. 11,2014,Major Projects,Pipelines,$,131.58333
4813018,Barrhead County No. 11,2015,Major Projects,Pipelines,$,131.58333
4810014,Hay Lakes,2014,Major Projects,Pipelines,$,46.15385
4810014,Hay Lakes,2015,Major Projects,Pipelines,$,46.15385
4810014,Hay Lakes,2016,Major Projects,Pipelines,$,46.15385
4810014,Hay Lakes,2017,Major Projects,Pipelines,$,92.30769
4810014,Hay Lakes,2018,Major Projects,Pipelines,$,92.30769
4810014,Hay Lakes,2019,Major Projects,Pipelines,$,92.30769
4810016,Beaver County,2013,Major Projects,Pipelines,$,112.50000
4810016,Beaver County,2014,Major Projects,Pipelines,$,158.65385
4810016,Beaver County,2015,Major Projects,Pipelines,$,158.65385
4810016,Beaver County,2016,Major Projects,Pipelines,$,158.65385
4810016,Beaver County,2017,Major Projects,Pipelines,$,204.80769
4810016,Beaver County,2018,Major Projects,Pipelines,$,204.80769
4810016,Beaver County,2019,Major Projects,Pipelines,$,204.80769
4810016,Beaver County,2020,Major Projects,Pipelines,$,112.50000
4801008,Forty Mile County No. 8,2009,Major Projects,Pipelines,$,4.25000
4801008,Forty Mile County No. 8,2010,Major Projects,Pipelines,$,4.25000
4801003,Cypress County,2008,Major Projects,Pipelines,$,2000.00000
4801003,Cypress County,2009,Major Projects,Pipelines,$,2000.00000
4801003,Cypress County,2010,Major Projects,Pipelines,$,2000.00000
4801003,Cypress County,2011,Major Projects,Pipelines,$,2000.00000
4801003,Cypress County,2012,Major Projects,Pipelines,$,2000.00000
4801003,Cypress County,2013,Major Projects,Pipelines,$,2010.80000
4801003,Cypress County,2014,Major Projects,Pipelines,$,2010.80000
4801003,Cypress County,2015,Major Projects,Pipelines,$,2000.00000
4801003,Cypress County,2016,Major Projects,Pipelines,$,2000.00000
4801003,Cypress County,2017,Major Projects,Pipelines,$,2000.00000
4801003,Cypress County,2018,Major Projects,Pipelines,$,2000.00000
4801003,Cypress County,2019,Major Projects,Pipelines,$,2000.00000
4801003,Cypress County,2020,Major Projects,Pipelines,$,2000.00000
4802011,Lethbridge County,2007,Major Projects,Pipelines,$,5.80000
4802011,Lethbridge County,2009,Major Projects,Pipelines,$,9.00000
4802021,"Taber, M.D.",2009,Major Projects,Pipelines,$,23.25000
4802021,"Taber, M.D.",2010,Major Projects,Pipelines,$,4.25000
4803011,Pincher Creek No. 9,2013,Major Projects,Pipelines,$,6.10000
4804004,Special Area No. 2,2008,Major Projects,Pipelines,$,2000.00000
4804004,Special Area No. 2,2009,Major Projects,Pipelines,$,2000.00000
4804004,Special Area No. 2,2010,Major Projects,Pipelines,$,2000.00000
4804004,Special Area No. 2,2011,Major Projects,Pipelines,$,2000.00000
4804004,Special Area No. 2,2012,Major Projects,Pipelines,$,2000.00000
4804004,Special Area No. 2,2013,Major Projects,Pipelines,$,2000.00000
4804004,Special Area No. 2,2014,Major Projects,Pipelines,$,2000.00000
4804004,Special Area No. 2,2015,Major Projects,Pipelines,$,2000.00000
4804004,Special Area No. 2,2016,Major Projects,Pipelines,$,2000.00000
4804004,Special Area No. 2,2017,Major Projects,Pipelines,$,2000.00000
4804004,Special Area No. 2,2018,Major Projects,Pipelines,$,2000.00000
4804004,Special Area No. 2,2019,Major Projects,Pipelines,$,2000.00000
4804004,Special Area No. 2,2020,Major Projects,Pipelines,$,2000.00000
4804012,Special Area No. 3,2008,Major Projects,Pipelines,$,2000.00000
4804012,Special Area No. 3,2009,Major Projects,Pipelines,$,2000.00000
4804012,Special Area No. 3,2010,Major Projects,Pipelines,$,2000.00000
4804012,Special Area No. 3,2011,Major Projects,Pipelines,$,2000.00000
4804012,Special Area No. 3,2012,Major Projects,Pipelines,$,2260.00000
4804012,Special Area No. 3,2013,Major Projects,Pipelines,$,2260.00000
4804012,Special Area No. 3,2014,Major Projects,Pipelines,$,2000.00000
4804012,Special Area No. 3,2015,Major Projects,Pipelines,$,2000.00000
4804012,Special Area No. 3,2016,Major Projects,Pipelines,$,2000.00000
4804012,Special Area No. 3,2017,Major Projects,Pipelines,$,2000.00000
4804012,Special Area No. 3,2018,Major Projects,Pipelines,$,2000.00000
4804012,Special Area No. 3,2019,Major Projects,Pipelines,$,2000.00000
4804012,Special Area No. 3,2020,Major Projects,Pipelines,$,2000.00000
4804014,Oyen,2012,Major Projects,Pipelines,$,6.90000
4804020,Special Area No. 4,2008,Major Projects,Pipelines,$,2000.00000
4804020,Special Area No. 4,2009,Major Projects,Pipelines,$,2000.00000
4804020,Special Area No. 4,2010,Major Projects,Pipelines,$,2000.00000
4804020,Special Area No. 4,2011,Major Projects,Pipelines,$,2000.00000
4804020,Special Area No. 4,2012,Major Projects,Pipelines,$,2000.00000
4804020,Special Area No. 4,2013,Major Projects,Pipelines,$,2000.00000
4804020,Special Area No. 4,2014,Major Projects,Pipelines,$,2000.00000
4804020,Special Area No. 4,2015,Major Projects,Pipelines,$,2000.00000
4804020,Special Area No. 4,2016,Major Projects,Pipelines,$,2000.00000
4804020,Special Area No. 4,2017,Major Projects,Pipelines,$,2000.00000
4804020,Special Area No. 4,2018,Major Projects,Pipelines,$,2000.00000
4804020,Special Area No. 4,2019,Major Projects,Pipelines,$,2000.00000
4804020,Special Area No. 4,2020,Major Projects,Pipelines,$,2000.00000
4805001,Vulcan County,2007,Major Projects,Pipelines,$,6.80000
4805001,Vulcan County,2008,Major Projects,Pipelines,$,6.80000
4805001,Vulcan County,2009,Major Projects,Pipelines,$,6.80000
4806001,Foothills No. 31,2018,Major Projects,Pipelines,$,240.00000
4806001,Foothills No. 31,2019,Major Projects,Pipelines,$,240.00000
4806014,Rocky View County,2007,Major Projects,Pipelines,$,70.00000
4806014,Rocky View County,2008,Major Projects,Pipelines,$,21.00000
4806014,Rocky View County,2011,Major Projects,Pipelines,$,25.00000
4806014,Rocky View County,2012,Major Projects,Pipelines,$,5.40000
4806014,Rocky View County,2018,Major Projects,Pipelines,$,240.00000
4806014,Rocky View County,2019,Major Projects,Pipelines,$,240.00000
4806016,Calgary,2007,Major Projects,Pipelines,$,47.00000
4806016,Calgary,2008,Major Projects,Pipelines,$,47.00000
4806016,Calgary,2013,Major Projects,Pipelines,$,600.00000
4806016,Calgary,2014,Major Projects,Pipelines,$,450.00000
4806016,Calgary,2015,Major Projects,Pipelines,$,450.00000
4806016,Calgary,2016,Major Projects,Pipelines,$,450.00000
4806016,Calgary,2017,Major Projects,Pipelines,$,450.00000
4806016,Calgary,2018,Major Projects,Pipelines,$,450.00000
4806016,Calgary,2019,Major Projects,Pipelines,$,450.00000
4806016,Calgary,2020,Major Projects,Pipelines,$,450.00000
4810011,Camrose,2009,Major Projects,Pipelines,$,200.00000
4810011,Camrose,2010,Major Projects,Pipelines,$,200.00000
4810011,Camrose,2011,Major Projects,Pipelines,$,200.00000
4807001,Provost No. 52,2008,Major Projects,Pipelines,$,2000.00000
4807001,Provost No. 52,2009,Major Projects,Pipelines,$,2000.00000
4807001,Provost No. 52,2010,Major Projects,Pipelines,$,2000.00000
4807001,Provost No. 52,2011,Major Projects,Pipelines,$,2000.00000
4807001,Provost No. 52,2012,Major Projects,Pipelines,$,2000.00000
4807001,Provost No. 52,2013,Major Projects,Pipelines,$,2000.00000
4807001,Provost No. 52,2014,Major Projects,Pipelines,$,2000.00000
4807001,Provost No. 52,2015,Major Projects,Pipelines,$,2118.18182
4807001,Provost No. 52,2016,Major Projects,Pipelines,$,4618.18182
4807001,Provost No. 52,2017,Major Projects,Pipelines,$,4500.00000
4807001,Provost No. 52,2018,Major Projects,Pipelines,$,4500.00000
4807001,Provost No. 52,2019,Major Projects,Pipelines,$,4500.00000
4807001,Provost No. 52,2020,Major Projects,Pipelines,$,4500.00000
4819041,Smoky River No. 130,2012,Major Projects,Pipelines,$,30.00000
4819041,Smoky River No. 130,2013,Major Projects,Pipelines,$,30.00000
4810036,Vermilion River County,2007,Major Projects,Pipelines,$,200.00000
4810036,Vermilion River County,2008,Major Projects,Pipelines,$,200.00000
4810036,Vermilion River County,2009,Major Projects,Pipelines,$,200.00000
4810036,Vermilion River County,2010,Major Projects,Pipelines,$,35.40000
4810036,Vermilion River County,2011,Major Projects,Pipelines,$,23.12500
4810036,Vermilion River County,2015,Major Projects,Pipelines,$,118.18182
4810036,Vermilion River County,2016,Major Projects,Pipelines,$,118.18182
4817024,Swan Hills,2012,Major Projects,Pipelines,$,50.00000
4817026,Northern Sunrise County,2010,Major Projects,Pipelines,$,100.00000
4817026,Northern Sunrise County,2011,Major Projects,Pipelines,$,109.00000
4817026,Northern Sunrise County,2020,Major Projects,Pipelines,$,0.00000
4817026,Northern Sunrise County,2021,Major Projects,Pipelines,$,14.30000
4817027,Big Lakes County,2009,Major Projects,Pipelines,$,25.00000
4817027,Big Lakes County,2010,Major Projects,Pipelines,$,25.00000
4817027,Big Lakes County,2011,Major Projects,Pipelines,$,25.00000
4817027,Big Lakes County,2014,Major Projects,Pipelines,$,305.00000
4817027,Big Lakes County,2015,Major Projects,Pipelines,$,305.00000
4817027,Big Lakes County,2016,Major Projects,Pipelines,$,305.00000
4817029,Slave Lake,2008,Major Projects,Pipelines,$,133.33333
4817029,Slave Lake,2009,Major Projects,Pipelines,$,146.66667
4817029,Slave Lake,2010,Major Projects,Pipelines,$,146.66667
4817029,Slave Lake,2012,Major Projects,Pipelines,$,200.00000
4817029,Slave Lake,2013,Major Projects,Pipelines,$,200.00000
4817031,Opportunity No. 17,2014,Major Projects,Pipelines,$,1287.57576
4817031,Opportunity No. 17,2015,Major Projects,Pipelines,$,1287.57576
4817031,Opportunity No. 17,2016,Major Projects,Pipelines,$,1287.57576
4817031,Opportunity No. 17,2017,Major Projects,Pipelines,$,433.33333
4817031,Opportunity No. 17,2019,Major Projects,Pipelines,$,42.50000
4813001,Lac Ste. Anne County,2010,Major Projects,Pipelines,$,131.58333
4813001,Lac Ste. Anne County,2011,Major Projects,Pipelines,$,131.58333
4813001,Lac Ste. Anne County,2012,Major Projects,Pipelines,$,131.58333
4813001,Lac Ste. Anne County,2013,Major Projects,Pipelines,$,131.58333
4813001,Lac Ste. Anne County,2014,Major Projects,Pipelines,$,436.58333
4813001,Lac Ste. Anne County,2015,Major Projects,Pipelines,$,436.58333
4813001,Lac Ste. Anne County,2016,Major Projects,Pipelines,$,305.00000
4813001,Lac Ste. Anne County,2019,Major Projects,Pipelines,$,185.71429
4813001,Lac Ste. Anne County,2020,Major Projects,Pipelines,$,185.71429
4813001,Lac Ste. Anne County,2021,Major Projects,Pipelines,$,228.57143
4813001,Lac Ste. Anne County,2022,Major Projects,Pipelines,$,228.57143
4813002,Mayerthorpe,2008,Major Projects,Pipelines,$,13.50000
4813002,Mayerthorpe,2009,Major Projects,Pipelines,$,13.50000
4813002,Mayerthorpe,2010,Major Projects,Pipelines,$,131.58333
4813002,Mayerthorpe,2011,Major Projects,Pipelines,$,131.58333
4813002,Mayerthorpe,2012,Major Projects,Pipelines,$,131.58333
4813002,Mayerthorpe,2013,Major Projects,Pipelines,$,131.58333
4813002,Mayerthorpe,2014,Major Projects,Pipelines,$,131.58333
4813002,Mayerthorpe,2015,Major Projects,Pipelines,$,131.58333
4819058,Spirit River,2008,Major Projects,Pipelines,$,13.75000
4819059,Saddle Hills County,2013,Major Projects,Pipelines,$,630.00000
4819059,Saddle Hills County,2014,Major Projects,Pipelines,$,630.00000
4819059,Saddle Hills County,2015,Major Projects,Pipelines,$,415.00000
4819059,Saddle Hills County,2016,Major Projects,Pipelines,$,136.00000
4819059,Saddle Hills County,2017,Major Projects,Pipelines,$,120.00000
4819059,Saddle Hills County,2018,Major Projects,Pipelines,$,595.00000
4819059,Saddle Hills County,2019,Major Projects,Pipelines,$,575.00000
4819059,Saddle Hills County,2020,Major Projects,Pipelines,$,575.00000
4819059,Saddle Hills County,2021,Major Projects,Pipelines,$,507.50000
4819066,Fairview No. 136,2007,Major Projects,Pipelines,$,10.00000
4819012,Grande Prairie,2008,Major Projects,Pipelines,$,13.75000
4811031,Drayton Valley,2010,Major Projects,Pipelines,$,6.00000
4811031,Drayton Valley,2011,Major Projects,Pipelines,$,6.00000
4811032,Brazeau County,2012,Major Projects,Pipelines,$,11.00000
4811032,Brazeau County,2017,Major Projects,Pipelines,$,50.00000
4811032,Brazeau County,2018,Major Projects,Pipelines,$,50.00000
4811032,Brazeau County,2019,Major Projects,Pipelines,$,115.00000
4811034,Parkland County,2013,Major Projects,Pipelines,$,675.00000
4811034,Parkland County,2014,Major Projects,Pipelines,$,675.00000
4811034,Parkland County,2015,Major Projects,Pipelines,$,675.00000
4811034,Parkland County,2016,Major Projects,Pipelines,$,675.00000
4811034,Parkland County,2017,Major Projects,Pipelines,$,975.00000
4811034,Parkland County,2018,Major Projects,Pipelines,$,722.72727
4811034,Parkland County,2019,Major Projects,Pipelines,$,672.72727
4811034,Parkland County,2020,Major Projects,Pipelines,$,672.72727
4811034,Parkland County,2021,Major Projects,Pipelines,$,1145.45455
4811034,Parkland County,2022,Major Projects,Pipelines,$,1945.45455
4811042,Lakeview,2013,Major Projects,Pipelines,$,675.00000
4811042,Lakeview,2014,Major Projects,Pipelines,$,675.00000
4811042,Lakeview,2015,Major Projects,Pipelines,$,675.00000
4811042,Lakeview,2016,Major Projects,Pipelines,$,675.00000
4811042,Lakeview,2017,Major Projects,Pipelines,$,925.00000
4811045,Wabamun,2013,Major Projects,Pipelines,$,675.00000
4811045,Wabamun,2014,Major Projects,Pipelines,$,675.00000
4811045,Wabamun,2015,Major Projects,Pipelines,$,675.00000
4811045,Wabamun,2016,Major Projects,Pipelines,$,675.00000
4811045,Wabamun,2017,Major Projects,Pipelines,$,925.00000
4811045,Wabamun,2018,Major Projects,Pipelines,$,672.72727
4811045,Wabamun,2019,Major Projects,Pipelines,$,672.72727
4811045,Wabamun,2020,Major Projects,Pipelines,$,672.72727
4811045,Wabamun,2021,Major Projects,Pipelines,$,1145.45455
4811045,Wabamun,2022,Major Projects,Pipelines,$,1945.45455
4811048,Stony Plain,2018,Major Projects,Pipelines,$,672.72727
4811048,Stony Plain,2019,Major Projects,Pipelines,$,672.72727
4811048,Stony Plain,2020,Major Projects,Pipelines,$,672.72727
4811048,Stony Plain,2021,Major Projects,Pipelines,$,1145.45455
4811048,Stony Plain,2022,Major Projects,Pipelines,$,1945.45455
4811049,Spruce Grove,2018,Major Projects,Pipelines,$,672.72727
4811049,Spruce Grove,2019,Major Projects,Pipelines,$,672.72727
4811049,Spruce Grove,2020,Major Projects,Pipelines,$,672.72727
4811049,Spruce Grove,2021,Major Projects,Pipelines,$,1145.45455
4811049,Spruce Grove,2022,Major Projects,Pipelines,$,1945.45455
4811052,Strathcona County,2007,Major Projects,Pipelines,$,132.00000
4811052,Strathcona County,2008,Major Projects,Pipelines,$,109.00000
4811052,Strathcona County,2009,Major Projects,Pipelines,$,9.00000
4811052,Strathcona County,2010,Major Projects,Pipelines,$,240.58333
4811052,Strathcona County,2011,Major Projects,Pipelines,$,231.58333
4811052,Strathcona County,2012,Major Projects,Pipelines,$,825.58333
4811052,Strathcona County,2013,Major Projects,Pipelines,$,957.08333
4811052,Strathcona County,2014,Major Projects,Pipelines,$,1797.44627
4811052,Strathcona County,2015,Major Projects,Pipelines,$,1425.44627
4811052,Strathcona County,2016,Major Projects,Pipelines,$,449.56294
4811052,Strathcona County,2017,Major Projects,Pipelines,$,204.80769
4811052,Strathcona County,2018,Major Projects,Pipelines,$,877.53497
4811052,Strathcona County,2019,Major Projects,Pipelines,$,877.53497
4811052,Strathcona County,2020,Major Projects,Pipelines,$,785.22727
4811052,Strathcona County,2021,Major Projects,Pipelines,$,1145.45455
4811052,Strathcona County,2022,Major Projects,Pipelines,$,1945.45455
4811059,Sturgeon County,2010,Major Projects,Pipelines,$,131.58333
4811059,Sturgeon County,2011,Major Projects,Pipelines,$,131.58333
4811059,Sturgeon County,2012,Major Projects,Pipelines,$,131.58333
4811059,Sturgeon County,2013,Major Projects,Pipelines,$,546.58333
4811059,Sturgeon County,2014,Major Projects,Pipelines,$,1142.49242
4811059,Sturgeon County,2015,Major Projects,Pipelines,$,1402.49242
4811059,Sturgeon County,2016,Major Projects,Pipelines,$,855.90909
4811059,Sturgeon County,2019,Major Projects,Pipelines,$,185.71429
4811059,Sturgeon County,2020,Major Projects,Pipelines,$,185.71429
